Project,Client,Title,Duration
SOS1920-30,,#8 f03 sobre imc,45:29:29
SOS1920-30,,#7 F03,10:52:22
SOS1920-30,,#13 D03,06:03:00
SOS1920-30,,#9 D01,05:34:00
SOS1920-30,,#14 D03,04:41:00
SOS1920-30,,#12 D03,04:03:00
SOS1920-30,,#8  D01,04:01:00
SOS1920-30,,#6 F02-organizacion,03:20:24
SOS1920-30,,#5 Actualizar Repo y goormIDE F02,03:03:26
SOS1920-30,,#11 D02,02:39:00
SOS1920-30,,#10 D02,02:34:00
SOS1920-30,,#2 Hacer el F01,00:57:54
SOS1920-30,,#3 f01,00:02:42
SOS1920-30,,#1 Hacer el L02,00:00:09
,,D03,03:24:48
,,finishing work,03:03:35
,,F01 raw,00:06:43
